Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-08-04,The Secret Life of Walter Mitty,2013,https://boxd.it/aBqfWf,5,,,2025-08-03
2025-08-07,Happy Gilmore 2,2025,https://boxd.it/aDDaUH,3,,,2025-08-06
2025-08-08,American Gangster,2007,https://boxd.it/aEhIBT,4,,,2025-08-07
2025-08-09,The Fantastic 4: First Steps,2025,https://boxd.it/aEYYE1,2.5,,,2025-08-08
2025-08-12,Freakier Friday,2025,https://boxd.it/aHuQOT,3.5,,theater,2025-08-11
2025-08-14,Superman,2025,https://boxd.it/aIVv23,4,,theater,2025-08-13
2025-08-17,Weapons,2025,https://boxd.it/aKOTMt,4.5,,theater,2025-08-16
2025-08-18,There Will Be Blood,2007,https://boxd.it/aM6piN,4.5,,,2025-08-17
2025-08-22,Honey Don't!,2025,https://boxd.it/aOGDZL,3.5,,theater,2025-08-21
2025-08-23,Wayne's World,1992,https://boxd.it/aPjWtR,,,,2025-08-22
2025-09-03,The Wolf of Wall Street,2013,https://boxd.it/aXeKcB,4.5,,,2025-09-02
2025-09-18,Almost Famous,2000,https://boxd.it/b6sDrj,3,,,2025-09-17
2025-11-10,One Battle After Another,2025,https://boxd.it/bFg9YN,5,,,2025-10-05
2025-10-15,Dirty Dancing,1987,https://boxd.it/bnhvRT,1.5,,,2025-10-14
2025-10-25,E.T. the Extra-Terrestrial,1982,https://boxd.it/btLNo5,4,,,2025-10-24
2025-10-26,The Lost Bus,2025,https://boxd.it/buyAcD,3,,,2025-10-25
2025-10-29,Springsteen: Deliver Me from Nowhere,2025,https://boxd.it/bwNjZB,2.5,,theater,2025-10-28
2025-10-30,Poor Things,2023,https://boxd.it/bxuQXT,5,,,2025-10-29
2025-11-02,Bugonia,2025,https://boxd.it/bzA2S5,4.5,,theater,2025-11-01
2025-11-03,Manchester by the Sea,2016,https://boxd.it/bAwFir,4,,,2025-11-02
2025-11-10,"O Brother, Where Art Thou?",2000,https://boxd.it/bFfKCd,4,,,2025-11-09
2025-11-12,Triangle of Sadness,2022,https://boxd.it/bGkBgL,4,,,2025-11-11
2025-11-24,Zodiac,2007,https://boxd.it/bP7Ffx,4.5,,,2025-11-23
2025-12-09,Hamnet,2025,https://boxd.it/bYRtTN,4.5,,theater,2025-12-08
2025-12-12,Nebraska,2013,https://boxd.it/c0DJsN,3.5,,,2025-12-10
2025-12-13,Baby Driver,2017,https://boxd.it/c1EkXx,4,Yes,,2025-12-12
2025-12-22,Zootopia,2016,https://boxd.it/caej2z,4,Yes,,2025-12-21
2025-12-25,It's a Wonderful Life,1946,https://boxd.it/cdCbXn,5,,,2025-12-24
2025-12-25,A Christmas Story,1983,https://boxd.it/cdGStX,3.5,,,2025-12-24
2025-12-29,The Fabelmans,2022,https://boxd.it/ciA5Wp,4.5,,,2025-12-28
2025-12-30,Marty Supreme,2025,https://boxd.it/cjiYbB,4.5,,theater,2025-12-29
2026-01-04,Memento,2000,https://boxd.it/cqNDgl,4,,,2026-01-03
2026-01-05,All the President's Men,1976,https://boxd.it/crNJn7,5,,"theater, 35mm, Belcourt",2026-01-04
2026-01-07,Train Dreams,2025,https://boxd.it/cuMZxx,4,,,2026-01-06
2026-01-20,Selma,2014,https://boxd.it/cJhewb,3.5,Yes,,2026-01-19
2026-01-21,No Other Choice,2025,https://boxd.it/cKsjZD,3.5,,theater,2026-01-20
2026-01-22,Licorice Pizza,2021,https://boxd.it/cLqclB,5,,,2026-01-21
2026-01-24,Uncut Gems,2019,https://boxd.it/cN9i1h,5,,,2026-01-23
2026-01-25,"Sorry, Baby",2025,https://boxd.it/cNV4Uj,3.5,,,2026-01-24
2026-01-26,Eddington,2025,https://boxd.it/cPbEax,3,,,2026-01-25
2026-01-29,The Smashing Machine,2025,https://boxd.it/cSUCCL,3.5,,,2026-01-28
2026-02-02,If I Had Legs I'd Kick You,2025,https://boxd.it/cWVvSv,4,,,2026-02-01
2026-02-04,Friendship,2024,https://boxd.it/cYSghV,3,,,2026-02-03
2026-02-06,Bohemian Rhapsody,2018,https://boxd.it/d0Cf2B,3,,,2026-02-05
2026-02-12,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/d5HWrJ,3.5,Yes,,2026-02-10
2026-02-16,Wuthering Heights,2026,https://boxd.it/d9aMn3,4.5,,,2026-02-15
2026-02-22,Train Dreams,2025,https://boxd.it/dfks5d,5,Yes,"theater, 35mm, afs cinema",2026-02-21
2026-03-02,The Secret Agent,2025,https://boxd.it/dmFdzx,3.5,,,2026-03-01
2026-03-04,Boogie Nights,1997,https://boxd.it/do4dqp,4,,,2026-03-03
2026-03-06,Twilight,2008,https://boxd.it/dpsvCl,1,,,2026-03-05
